Sender ID,Max of Date Created,Recency,frequency,monetary,Average of Total Amount
21867,23/04/2019,1814,2,10000,5000
21977,12/07/2021,1003,3,26043,8681
21979,02/11/2020,1255,2,10125,5062.5
21995,19/10/2020,1269,8,38840,4855
22020,28/02/2019,1868,1,9000,9000
22044,03/12/2019,1590,1,7188,7188
22081,17/03/2022,755,1,9998,9998
22100,29/12/2020,1198,5,21655,4331
22123,15/10/2020,1273,4,21000,5250
22134,19/05/2019,1788,1,9000,9000
22138,17/08/2020,1332,5,21878.5,4375.7
22144,22/08/2019,1693,1,10000,10000
22148,14/07/2020,1366,6,30000,5000
22151,03/07/2019,1743,2,11000,5500
22192,25/08/2020,1324,3,20000,6666.666667
22201,16/04/2019,1821,1,10000,10000
22204,08/08/2019,1707,5,49500,9900
22238,21/12/2019,1572,4,25000,6250
22239,03/01/2019,1924,1,9007.39,9007.39
22343,04/11/2019,1619,1,10000,10000
22349,11/06/2020,1399,3,16020,5340
22385,07/06/2022,673,1,5000,5000
22423,12/03/2020,1490,2,17310.02,8655.01
22427,30/11/2020,1227,7,26923.26,3846.18
22480,06/12/2023,126,4,19204.99,4801.2475
22511,02/09/2019,1682,5,24381,4876.2
22542,15/03/2020,1487,5,17843,3568.6
22544,19/05/2019,1788,1,4000,4000
22556,15/12/2020,1212,3,18000,6000
22764,02/08/2020,1347,4,18538.26,4634.565
22788,18/11/2022,509,6,38869,6478.166667
22792,11/06/2019,1765,2,13271,6635.5
22818,22/04/2020,1449,1,9999,9999
22829,01/11/2021,891,6,35200,5866.666667
22866,18/12/2019,1575,3,17722.5,5907.5
22895,06/08/2019,1709,1,10000,10000
22903,09/11/2023,153,3,11360.09,3786.696667
22913,04/01/2021,1192,2,7200,3600
22973,03/08/2020,1346,6,46229,7704.833333
22992,11/04/2019,1826,1,10000,10000
23014,19/02/2019,1877,2,8005,4002.5
23019,05/11/2019,1618,8,53000,6625
23021,10/10/2020,1278,10,62895.95,6289.595
23033,07/04/2021,1099,9,34755,3861.666667
23086,05/04/2021,1101,6,27319.17,4553.195
23162,12/01/2020,1550,2,16000,8000
23168,03/12/2019,1590,3,20000,6666.666667
23219,04/04/2019,1833,1,7345,7345
23262,28/02/2019,1868,1,6000,6000
23275,29/04/2019,1808,2,9092,4546
23294,03/01/2021,1193,8,30185,3773.125
23311,19/03/2021,1118,1,7000,7000
23361,05/10/2023,188,13,67391.98,5183.998462
23370,21/03/2020,1481,12,62100,5175
